facility_id,stroke_measure_name,stroke_score,compared_to_national
050492,Death rate for stroke patients,13,No Different Than the National Rate
050496,Death rate for stroke patients,13.8,No Different Than the National Rate
050498,Death rate for stroke patients,13.8,No Different Than the National Rate
050503,Death rate for stroke patients,13.9,No Different Than the National Rate
050506,Death rate for stroke patients,13.8,No Different Than the National Rate
050510,Death rate for stroke patients,Not Available,Number of Cases Too Small
050512,Death rate for stroke patients,Not Available,Number of Cases Too Small
050515,Death rate for stroke patients,Not Available,Number of Cases Too Small
050516,Death rate for stroke patients,14.8,No Different Than the National Rate
050517,Death rate for stroke patients,Not Available,Number of Cases Too Small
050523,Death rate for stroke patients,16.4,No Different Than the National Rate
050526,Death rate for stroke patients,Not Available,Number of Cases Too Small
050528,Death rate for stroke patients,13.1,No Different Than the National Rate
050534,Death rate for stroke patients,13.9,No Different Than the National Rate
050537,Death rate for stroke patients,11.9,No Different Than the National Rate
050541,Death rate for stroke patients,13.3,No Different Than the National Rate
050543,Death rate for stroke patients,Not Available,Not Available
050546,Death rate for stroke patients,Not Available,Not Available
050549,Death rate for stroke patients,11.7,No Different Than the National Rate
050551,Death rate for stroke patients,12.3,No Different Than the National Rate
050557,Death rate for stroke patients,12.8,No Different Than the National Rate
050561,Death rate for stroke patients,Not Available,Number of Cases Too Small
050567,Death rate for stroke patients,13,No Different Than the National Rate
050570,Death rate for stroke patients,14.3,No Different Than the National Rate
